Link_id,Direction,AVG_Speed,Data_Availability_Percentage,Category
4688548,1,17,83,Low [0-30]
4688549,1,24,92,Low [0-30]
4688550,1,21,89,Low [0-30]
4825719,1,33,75,Medium (30 - 50]
4825719,2,31,76,Medium (30 - 50]
4959032,1,47,23,Medium (30 - 50]
4959083,1,29,45,Low [0-30]
4959083,2,31,31,Medium (30 - 50]
5363322,1,60,36,High (51 - 80]
5363340,1,99,77,Highest (80 +
9774971,1,87,12,Highest (80 +
13769164,1,23,92,Low [0-30]
13769290,1,16,20,Low [0-30]
13769313,1,19,1,Low [0-30]
13769313,2,23,10,Low [0-30]
13769391,1,21,75,Low [0-30]
13866832,1,26,47,Low [0-30]
13866835,1,26,16,Low [0-30]
13868768,1,30,87,Low [0-30]
13868791,1,37,95,Medium (30 - 50]
13868862,1,29,15,Low [0-30]
13868862,2,29,39,Low [0-30]
13986369,1,94,17,Highest (80 +
13987098,1,80,78,High (51 - 80]
14087678,1,20,56,Low [0-30]
14088029,1,26,12,Low [0-30]
14088029,2,20,3,Low [0-30]
14088080,1,23,82,Low [0-30]
14088246,1,25,83,Low [0-30]
14088780,1,32,88,Medium (30 - 50]
14089056,1,29,38,Low [0-30]
14089056,2,30,59,Low [0-30]
14125050,1,89,17,Highest (80 +
14125517,1,30,34,Low [0-30]
14125517,2,29,27,Low [0-30]
14126204,1,25,27,Low [0-30]
14126204,2,26,22,Low [0-30]
14126392,1,18,87,Low [0-30]
14126665,1,27,83,Low [0-30]
14128773,1,39,5,Medium (30 - 50]
14133302,1,90,1,Highest (80 +
14133333,1,103,3,Highest (80 +
14134195,1,92,14,Highest (80 +
14156574,1,31,74,Medium (30 - 50]
14156737,1,16,7,Low [0-30]
14157560,1,27,1,Low [0-30]
14157560,2,30,1,Low [0-30]
14158208,1,35,53,Medium (30 - 50]
14158208,2,33,48,Medium (30 - 50]
14158490,1,26,28,Low [0-30]
14158533,1,69,34,High (51 - 80]
14158682,1,72,62,High (51 - 80]
14158740,1,25,52,Low [0-30]
14159505,1,23,42,Low [0-30]
14159652,1,30,13,Low [0-30]
14159652,2,24,3,Low [0-30]
14159709,1,26,88,Low [0-30]
14159730,1,24,39,Low [0-30]
14159730,2,26,17,Low [0-30]
14159918,1,16,52,Low [0-30]
14159984,1,15,16,Low [0-30]
14172794,1,102,79,Highest (80 +
14172997,1,57,18,High (51 - 80]
14172997,2,54,21,High (51 - 80]
14174079,1,59,24,High (51 - 80]
14250434,1,82,23,Highest (80 +
14250441,1,40,18,Medium (30 - 50]
14250490,1,56,38,High (51 - 80]
14251205,1,96,62,Highest (80 +
14251287,1,94,90,Highest (80 +
14251378,1,36,44,Medium (30 - 50]
14251667,1,58,51,High (51 - 80]
14251700,1,51,43,High (51 - 80]
14251756,1,56,54,High (51 - 80]
14251861,1,85,55,Highest (80 +
14251908,1,55,26,High (51 - 80]
14251968,1,52,52,High (51 - 80]
14252079,1,27,46,Low [0-30]
14252175,1,38,31,Medium (30 - 50]
14252291,1,95,0,Highest (80 +
14252339,1,43,4,Medium (30 - 50]
14290764,1,43,10,Medium (30 - 50]
14290764,2,42,9,Medium (30 - 50]
14291050,1,23,68,Low [0-30]
14291356,1,21,80,Low [0-30]
14292307,1,36,69,Medium (30 - 50]
14293311,1,29,11,Low [0-30]
14293311,2,29,7,Low [0-30]
14293732,1,22,1,Low [0-30]
14293732,2,29,1,Low [0-30]
14294151,1,26,29,Low [0-30]
14298307,1,46,35,Medium (30 - 50]
14298350,1,76,14,High (51 - 80]
14299546,1,29,36,Low [0-30]
14299650,1,62,28,High (51 - 80]
14299694,1,59,51,High (51 - 80]
14299750,1,50,38,Medium (30 - 50]
14302366,1,21,2,Low [0-30]
14302366,2,21,0,Low [0-30]
14324217,1,91,52,Highest (80 +
14338870,1,25,12,Low [0-30]
14338917,1,85,77,Highest (80 +
14338944,2,35,32,Medium (30 - 50]
14339139,1,44,25,Medium (30 - 50]
14339139,2,41,19,Medium (30 - 50]
14339147,1,79,38,High (51 - 80]
14339182,1,64,54,High (51 - 80]
14339401,1,59,30,High (51 - 80]
14339410,1,40,83,Medium (30 - 50]
14339433,1,58,46,High (51 - 80]
14339485,1,90,61,Highest (80 +
14339502,1,92,68,Highest (80 +
14339504,1,83,70,Highest (80 +
14339512,1,97,53,Highest (80 +
14339661,1,90,75,Highest (80 +
14341774,1,41,4,Medium (30 - 50]
14341801,1,57,6,High (51 - 80]
14341832,1,111,1,Highest (80 +
14341833,1,72,1,High (51 - 80]
14341840,1,68,1,High (51 - 80]
14341843,1,88,7,Highest (80 +
14341853,1,119,3,Highest (80 +
14341855,1,103,1,Highest (80 +
14341869,1,102,1,Highest (80 +
14341870,1,88,1,Highest (80 +
14341925,1,119,1,Highest (80 +
14341928,1,94,1,Highest (80 +
14341935,1,76,1,High (51 - 80]
14341937,1,114,2,Highest (80 +
14342395,1,90,8,Highest (80 +
14342396,1,85,4,Highest (80 +
14342642,1,107,2,Highest (80 +
14342645,1,93,11,Highest (80 +
14342655,1,117,6,Highest (80 +
14342656,1,115,1,Highest (80 +
14342707,1,118,0,Highest (80 +
14342709,1,119,7,Highest (80 +
14342725,1,118,0,Highest (80 +
14342737,1,117,0,Highest (80 +
14342740,1,113,6,Highest (80 +
14342770,1,106,9,Highest (80 +
14342775,1,107,14,Highest (80 +
14342784,1,91,8,Highest (80 +
14342787,1,96,7,Highest (80 +
14342886,1,94,1,Highest (80 +
14342900,1,92,10,Highest (80 +
14342952,1,84,1,Highest (80 +
14342990,1,77,1,High (51 - 80]
14378454,1,35,81,Medium (30 - 50]
14378472,1,64,73,High (51 - 80]
14378477,1,39,65,Medium (30 - 50]
14378651,1,72,13,High (51 - 80]
14378652,2,73,72,High (51 - 80]
14406656,2,56,5,High (51 - 80]
14406949,1,91,1,Highest (80 +
14406987,1,82,1,Highest (80 +
14406996,1,78,1,High (51 - 80]
14407394,1,82,46,Highest (80 +
14407399,1,78,3,High (51 - 80]
14407436,1,75,3,High (51 - 80]
14407439,1,73,52,High (51 - 80]
14407750,1,100,11,Highest (80 +
14407960,1,72,1,High (51 - 80]
14407999,1,80,1,High (51 - 80]
14408007,1,99,8,Highest (80 +
14437322,1,117,10,Highest (80 +
14437826,1,68,37,High (51 - 80]
14437889,1,85,68,Highest (80 +
14437894,1,74,17,High (51 - 80]
14437901,1,82,23,Highest (80 +
14437917,1,91,66,Highest (80 +
14437962,1,51,39,High (51 - 80]
14437967,1,85,45,Highest (80 +
14437981,1,74,59,High (51 - 80]
14438000,1,76,53,High (51 - 80]
14438058,1,88,81,Highest (80 +
14438066,1,90,39,Highest (80 +
14438096,1,84,51,Highest (80 +
14438102,1,81,43,Highest (80 +
14438126,1,38,0,Medium (30 - 50]
14438126,2,37,0,Medium (30 - 50]
14438127,1,42,1,Medium (30 - 50]
14438127,2,40,0,Medium (30 - 50]
14438184,1,101,6,Highest (80 +
14438186,1,90,70,Highest (80 +
14438255,1,66,12,High (51 - 80]
14438352,1,86,35,Highest (80 +
14438365,1,82,5,Highest (80 +
14438451,1,92,16,Highest (80 +
14438452,1,100,76,Highest (80 +
14781305,1,36,94,Medium (30 - 50]
14781932,1,30,56,Low [0-30]
14782349,1,28,80,Low [0-30]
14782480,1,15,25,Low [0-30]
14783090,1,21,54,Low [0-30]
14783245,1,20,64,Low [0-30]
14783561,1,19,52,Low [0-30]
14783632,1,34,46,Medium (30 - 50]
14784002,1,23,11,Low [0-30]
14784363,1,17,19,Low [0-30]
14785866,1,19,39,Low [0-30]
14785963,1,17,49,Low [0-30]
14786207,1,20,75,Low [0-30]
14787061,1,12,13,Low [0-30]
14787343,1,17,48,Low [0-30]
14791533,NULL,NULL,0,NULL
14791766,1,50,63,Medium (30 - 50]
14794438,1,29,93,Low [0-30]
14794988,1,33,93,Medium (30 - 50]
14795503,1,42,26,Medium (30 - 50]
14795856,1,49,10,Medium (30 - 50]
14795856,2,51,2,High (51 - 80]
14798183,1,19,71,Low [0-30]
14799577,1,30,68,Low [0-30]
14799706,1,21,91,Low [0-30]
14801337,1,34,26,Medium (30 - 50]
14801337,2,35,28,Medium (30 - 50]
14801679,1,35,29,Medium (30 - 50]
14801679,2,35,25,Medium (30 - 50]
14801834,1,29,25,Low [0-30]
14801834,2,28,33,Low [0-30]
14801921,1,29,47,Low [0-30]
14802356,1,72,32,High (51 - 80]
14802552,1,41,6,Medium (30 - 50]
14802632,1,70,17,High (51 - 80]
14802803,1,53,21,High (51 - 80]
14873155,1,26,0,Low [0-30]
14873155,2,27,0,Low [0-30]
14873515,1,26,77,Low [0-30]
14887702,1,16,12,Low [0-30]
14887718,1,31,1,Medium (30 - 50]
14887718,2,28,1,Low [0-30]
14887780,2,29,15,Low [0-30]
14888697,1,44,26,Medium (30 - 50]
14888697,2,43,36,Medium (30 - 50]
14888749,1,94,43,Highest (80 +
14888755,1,89,55,Highest (80 +
14890678,1,34,0,Medium (30 - 50]
14890678,2,30,0,Low [0-30]
14891408,1,28,41,Low [0-30]
14899375,1,108,8,Highest (80 +
14899400,1,87,1,Highest (80 +
14904476,1,26,90,Low [0-30]
14904611,1,45,51,Medium (30 - 50]
14904666,1,59,19,High (51 - 80]
14904948,1,79,16,High (51 - 80]
14904980,1,74,7,High (51 - 80]
14904997,1,78,14,High (51 - 80]
15090404,1,103,88,Highest (80 +
15090405,1,103,76,Highest (80 +
15090598,1,33,95,Medium (30 - 50]
15090599,1,59,73,High (51 - 80]
15090601,1,39,95,Medium (30 - 50]
15090602,1,31,66,Medium (30 - 50]
15090608,1,30,90,Low [0-30]
15090623,1,68,42,High (51 - 80]
15090626,1,85,9,Highest (80 +
15090628,1,98,78,Highest (80 +
15090629,1,80,83,High (51 - 80]
15090630,1,83,62,Highest (80 +
15090631,1,62,53,High (51 - 80]
15090633,1,71,83,High (51 - 80]
15090634,1,58,69,High (51 - 80]
15219509,1,67,33,High (51 - 80]
15219510,1,44,75,Medium (30 - 50]
15219511,1,70,19,High (51 - 80]
15219512,1,77,86,High (51 - 80]
15219514,1,45,22,Medium (30 - 50]
15219515,1,46,28,Medium (30 - 50]
15219516,1,41,37,Medium (30 - 50]
15219519,1,23,3,Low [0-30]
15219519,2,24,3,Low [0-30]
15219534,1,31,69,Medium (30 - 50]
